board_x_mm,board_y_mm,observations,detections,detection_rate,mean_sharpness,std_sharpness,mean_marker_size_px,std_marker_size_px,mean_distance_center_px,mean_camera_distance_mm,mean_pitch_deg,mean_yaw_deg,mean_roll_deg
519.25,104.5,95,95,100.0,8131.294147059966,967.9840973521589,15.753957748413086,0.09859657287597656,240.9939050058854,0.0,0.0,0.0,0.0
517.0,402.25,95,95,100.0,10053.842860420094,689.6471706286549,15.711999893188477,0.10776794701814651,255.22380985788166,0.0,0.0,0.0,0.0
541.5,104.5,95,69,72.63157894736842,5520.870270762438,3706.4365252427683,11.204698974207828,6.8803124168131795,188.47979415274833,0.0,0.0,0.0,0.0
563.0,104.25,95,79,83.15789473684211,4328.016911406231,1959.8403684689854,12.844462404753033,5.7819803547903925,231.54092373239914,0.0,0.0,0.0,0.0
565.0,37.5,95,85,89.47368421052632,2952.0984323188386,1146.6130881672675,13.571596065320467,4.661710057754804,284.2962195801472,0.0,0.0,0.0,0.0
518.5,148.5,95,95,100.0,7702.494056925849,1502.4147769436945,15.34787368774414,0.13069042563438416,218.6610794223838,0.0,0.0,0.0,0.0
563.5,82.5,95,93,97.89473684210526,7755.339880927576,2039.0094654737889,15.038777712771767,2.220529491598255,283.9798359568073,0.0,0.0,0.0,0.0
562.5,125.5,95,95,100.0,8052.228102647654,703.8617072174086,15.480794906616211,0.11348311603069305,267.86204323433105,0.0,0.0,0.0,0.0
608.5,59.5,95,95,100.0,4315.209908715876,730.0014560523805,15.435942649841309,0.14229437708854675,340.30678336932755,0.0,0.0,0.0,0.0
516.25,359.75,95,95,100.0,11110.19718063979,501.93083659448064,15.32481861114502,0.09884438663721085,229.73716985520755,0.0,0.0,0.0,0.0
559.75,402.75,95,50,52.63157894736842,3292.4155474149266,3254.366837087135,8.102598893015008,7.688332211226813,152.46204574198907,0.0,0.0,0.0,0.0
607.25,103.75,95,94,98.94736842105263,6612.82284257217,994.1713559135172,15.362574507060804,1.5855576628133958,314.4832038001663,0.0,0.0,0.0,0.0
585.0,104.0,95,95,100.0,5051.997063887747,275.83579720428736,15.515610694885254,9.5367431640625e-07,297.8607056998289,0.0,0.0,0.0,0.0
519.5,83.0,95,65,68.42105263157895,3943.312459061492,2824.7988495561617,10.23573802144904,6.957170835665386,173.91894759710672,0.0,0.0,0.0,0.0
586.25,59.75,95,94,98.94736842105263,4754.592322474073,619.4923993176933,15.247490912989566,1.5780472282327258,318.170788125854,0.0,0.0,0.0,0.0
564.0,60.0,95,95,100.0,4876.066392504879,161.6437563496514,15.51175594329834,0.051499199122190475,303.22332711477424,0.0,0.0,0.0,0.0
587.25,37.75,95,71,74.73684210526316,2908.5934224903485,1705.4464781671957,11.543354496202971,6.71300544989324,250.47409967337055,0.0,0.0,0.0,0.0
517.0,423.5,95,95,100.0,6573.868366045321,171.62801877442422,15.472016334533691,0.07732973992824554,269.2022446962772,0.0,0.0,0.0,0.0
517.0,254.5,95,95,100.0,6417.220530153509,156.1794414518491,15.479643821716309,0.08346258103847504,197.5329117571302,0.0,0.0,0.0,0.0
581.5,403.0,95,95,100.0,6893.85904130117,225.36758029057228,15.408416748046875,0.1172432228922844,308.19174838778446,0.0,0.0,0.0,0.0
497.5,105.0,95,95,100.0,8528.499817809876,2358.0673847674884,15.467791557312012,0.10520119965076447,222.94863401419468,0.0,0.0,0.0,0.0
606.75,125.5,95,94,98.94736842105263,5860.341626810411,649.6920773159214,15.334485023900083,1.5863356084991844,305.352071816588,0.0,0.0,0.0,0.0
561.5,169.25,95,95,100.0,10495.131763849608,2329.3567218612707,15.256221771240234,0.06391862779855728,251.62254761374663,0.0,0.0,0.0,0.0
560.5,233.25,95,93,97.89473684210526,8407.017570511849,1619.2035202732864,14.762246262399774,2.16734709582369,235.42230359161917,0.0,0.0,0.0,0.0
497.75,83.25,95,92,96.84210526315789,6571.4575560237745,1599.34257793443,14.395331111707186,2.6190530052632206,229.49384742416538,0.0,0.0,0.0,0.0
607.75,81.5,95,80,84.21052631578948,3625.1471765644565,1707.8358904180318,12.657500839233398,5.485788802214908,276.6814693943491,0.0,0.0,0.0,0.0
559.25,360.0,95,95,100.0,14155.757684968647,479.65526835351113,15.27445125579834,1.9073486328125e-06,267.6575470634072,0.0,0.0,0.0,0.0
411.0,105.75,95,95,100.0,8352.052673903081,648.1032673951352,15.267827033996582,0.007934101857244968,162.3278169817501,0.0,0.0,0.0,0.0
262.5,106.25,95,78,82.10526315789474,4785.82797496345,2237.9138837985265,12.459394294337223,5.8175933801093995,119.55850601489665,0.0,0.0,0.0,0.0
498.0,60.75,95,95,100.0,6953.464979545775,654.7455289408773,15.154976844787598,0.14539894461631775,252.3895465782862,0.0,0.0,0.0,0.0
542.0,60.25,95,78,82.10526315789474,4389.9606094647,2101.2923319857928,12.457006002727308,5.819685983465789,234.5316096252101,0.0,0.0,0.0,0.0
603.5,403.25,95,95,100.0,9478.276376644737,421.02847936431516,15.258323669433594,0.0,327.1434127412624,0.0,0.0,0.0,0.0
495.5,402.25,95,95,100.0,9850.990471308478,237.9480202469141,15.255779266357422,0.02466452307999134,239.00709011017133,0.0,0.0,0.0,0.0
473.5,401.75,95,95,100.0,12267.900497076023,303.0749825065842,15.258323669433594,0.0,222.99173190950384,0.0,0.0,0.0,0.0
560.0,254.75,95,81,85.26315789473684,6991.242873903509,2909.6008142576916,12.905569337543689,5.3746218229887655,205.0474106705271,0.0,0.0,0.0,0.0
561.25,190.5,95,95,100.0,8331.592480994155,419.61676401593473,15.250699043273926,0.07387203723192215,246.27020314730467,0.0,0.0,0.0,0.0
606.25,147.5,95,81,85.26315789473684,5698.653262061402,2374.236793562746,12.98685793625681,5.400061340621829,256.4830963873544,0.0,0.0,0.0,0.0
584.25,125.5,95,95,100.0,7679.244903538824,496.4030595646258,15.234733581542969,0.11453956365585327,287.99045074082744,0.0,0.0,0.0,0.0
475.5,105.25,95,95,100.0,7337.29155500731,298.15543655794585,15.258123397827148,0.00025298865512013435,205.8988926160559,0.0,0.0,0.0,0.0
520.25,60.5,95,94,98.94736842105263,6562.358038306949,760.2009907972586,15.084611300418251,1.5607976245575235,266.06021196244166,0.0,0.0,0.0,0.0
263.5,400.75,95,95,100.0,11412.39064690017,3029.5800251079245,15.047996520996094,0.09830911457538605,170.1435837623914,0.0,0.0,0.0,0.0
559.25,317.5,95,95,100.0,16383.06790095029,494.64822235531926,15.215075492858887,0.09263449907302856,251.50137412920122,0.0,0.0,0.0,0.0
604.0,254.25,95,38,40.0,2740.187067482017,3498.6970433676356,5.915477411370528,7.245302014173902,113.7291778439986,0.0,0.0,0.0,0.0
517.25,233.5,95,95,100.0,12052.527672149123,478.7751948129758,15.179485321044922,0.11327853053808212,197.35980696578216,0.0,0.0,0.0,0.0
583.25,190.5,95,79,83.15789473684211,7762.490644429012,3506.695026599922,12.208403757998818,5.4983704134172005,222.5473714982674,0.0,0.0,0.0,0.0
497.25,126.5,95,94,98.94736842105263,7130.277613121345,808.7195696656204,14.868760349876002,1.5347626314775384,208.06106046503302,0.0,0.0,0.0,0.0
475.25,126.5,95,95,100.0,10051.519566885965,622.3079675380244,15.258323669433594,0.0,192.31493317366744,0.0,0.0,0.0,0.0
518.75,126.5,95,81,85.26315789473684,4007.5071271727475,1827.7210060329032,13.02221161691766,5.414079787855087,195.23853416956086,0.0,0.0,0.0,0.0
69.5,105.25,51,8,15.686274509803921,755.7101883439796,1761.6732045205517,2.2815916958977196,5.29019626364254,44.558440457174974,0.0,0.0,0.0,0.0
433.25,61.5,95,95,100.0,6792.383815842931,2197.995740107902,15.000051498413086,0.3306354582309723,211.3226070014218,0.0,0.0,0.0,0.0
476.25,61.5,95,94,98.94736842105263,5956.061476468813,764.4899014775729,15.114552287051552,1.5623424731427509,234.75665291155784,0.0,0.0,0.0,0.0
518.0,169.25,95,95,100.0,6886.23711427794,285.0668353401034,15.33926773071289,0.15208905935287476,210.23172079644493,0.0,0.0,0.0,0.0
605.0,233.25,95,95,100.0,4317.018122624269,138.1901466425184,15.25822639465332,0.00020331176347099245,284.8726351283054,0.0,0.0,0.0,0.0
325.75,106.0,95,94,98.94736842105263,7776.756856907893,823.6493975157314,15.094657897949219,1.5570895847848916,132.714115639977,0.0,0.0,0.0,0.0
177.25,106.0,95,95,100.0,5017.787108257063,153.94794330889684,15.232529640197754,0.08794976025819778,195.77855719996575,0.0,0.0,0.0,0.0
560.0,424.0,95,95,100.0,10039.914430519862,280.15035810944653,15.043452262878418,0.058368682861328125,302.4211105988168,0.0,0.0,0.0,0.0
158.0,401.0,95,95,100.0,6999.545719026264,159.86950219167576,15.03329849243164,1.9073486328125e-06,228.39658491317235,0.0,0.0,0.0,0.0
540.0,148.0,95,94,98.94736842105263,9681.708332016124,1565.924309297405,14.80278078380384,1.5405289008609084,236.0823233367104,0.0,0.0,0.0,0.0
262.0,63.0,95,91,95.78947368421052,6598.4081155517515,1430.9078956160251,14.391826288323653,3.017929396152935,178.42052290320456,0.0,0.0,0.0,0.0
176.0,41.0,95,85,89.47368421052632,5335.053531921961,1975.321671857447,13.192002416911878,4.53575281407547,219.9072876656224,0.0,0.0,0.0,0.0
583.5,168.5,95,95,100.0,6604.2152575091095,2748.4765320272013,15.070708274841309,0.09714337438344955,273.10682833195847,0.0,0.0,0.0,0.0
541.5,82.5,95,83,87.36842105263158,4570.49661796946,1759.154802282976,13.01379374453896,4.950754622457727,237.53586568451362,0.0,0.0,0.0,0.0
115.75,401.25,95,95,100.0,7475.155877478525,1280.8093511790603,15.018461227416992,0.04983123764395714,260.1925957413404,0.0,0.0,0.0,0.0
516.75,275.25,95,89,93.6842105263158,7121.2493154653985,1940.7453106282792,14.013452509829872,3.64793365070155,187.2185478888757,0.0,0.0,0.0,0.0
410.25,422.25,95,64,67.36842105263158,6082.947819057217,4352.08681733746,10.025513347826505,6.9810565419282025,137.02732628865982,0.0,0.0,0.0,0.0
200.25,400.75,95,95,100.0,6201.19270083577,424.35435674308616,14.977838516235352,0.14635978639125824,200.35340408276684,0.0,0.0,0.0,0.0
94.25,401.25,95,95,100.0,7199.00158556124,1929.2853037925252,14.865501403808594,0.1262638121843338,277.27471392015985,0.0,0.0,0.0,0.0
580.25,360.25,95,80,84.21052631578948,8402.26808042078,3655.25655671768,12.664071534809313,5.484057744615035,241.78776477482253,0.0,0.0,0.0,0.0
410.25,359.25,95,95,100.0,10206.530325106794,751.0261249174541,15.037275314331055,0.12979426980018616,149.5728238097916,0.0,0.0,0.0,0.0
516.25,317.25,95,95,100.0,11664.41357072368,227.24809687624557,15.016722679138184,9.5367431640625e-07,210.91440633010762,0.0,0.0,0.0,0.0
603.25,297.25,95,95,100.0,8348.359163110787,3354.181802821653,14.998459815979004,0.04925491660833359,289.11007454514777,0.0,0.0,0.0,0.0
410.25,254.25,95,85,89.47368421052632,7188.98562883772,2467.7109434641256,13.359859968486585,4.583824109109982,81.67541795835935,0.0,0.0,0.0,0.0
157.25,254.25,95,90,94.73684210526316,8731.76442316576,2119.534871129543,14.162585900959217,3.341704777644076,154.54478483313287,0.0,0.0,0.0,0.0
582.25,233.25,95,95,100.0,7978.076389802632,252.53086690792412,14.945813179016113,0.11007389426231384,262.263061356868,0.0,0.0,0.0,0.0
262.5,233.25,95,94,98.94736842105263,7944.507864220805,880.4601009026127,14.194652597527755,1.4819989943516574,57.269339784960394,0.0,0.0,0.0,0.0
605.25,190.25,95,95,100.0,9735.490948464912,218.71354767072444,15.169312477111816,0.11654307693243027,289.52884747490623,0.0,0.0,0.0,0.0
496.25,169.25,95,95,100.0,7731.267594159359,283.0779276045249,15.001330375671387,0.08437366038560867,189.89659991380935,0.0,0.0,0.0,0.0
496.25,148.25,95,72,75.78947368421052,5851.512111193147,3364.451584924908,11.398196832757247,6.443403430102756,150.6386965092418,0.0,0.0,0.0,0.0
283.25,106.25,95,93,97.89473684210526,5901.3124615789475,903.5923649541127,14.705479631925884,2.1567948409542224,135.75403434051444,0.0,0.0,0.0,0.0
219.75,106.25,95,95,100.0,7462.463519919589,220.19985762890238,15.016722679138184,9.5367431640625e-07,167.25750413380754,0.0,0.0,0.0,0.0
454.25,105.25,95,95,100.0,7654.023736110398,376.4177414689263,15.042332649230957,0.08248094469308853,190.1859841368208,0.0,0.0,0.0,0.0
155.25,84.25,95,94,98.94736842105263,4603.406663956718,557.1500392534275,14.257104853579872,1.4965785567372725,224.3332932024845,0.0,0.0,0.0,0.0
240.25,41.25,95,95,100.0,4064.0838796870476,361.0837222536195,14.883285522460938,0.276169091463089,214.1254032021914,0.0,0.0,0.0,0.0
305.5,401.0,95,95,100.0,6711.490312216535,200.16484330949964,15.008849143981934,0.04318879172205925,161.63375690140805,0.0,0.0,0.0,0.0
179.0,401.0,95,81,85.26315789473684,5406.558649038892,2277.252650975602,12.70982837677002,5.286137254138316,182.4070917373572,0.0,0.0,0.0,0.0
603.5,382.0,95,95,100.0,9760.33795285659,1881.1163924993973,14.90832233428955,0.1291528195142746,316.71098787215016,0.0,0.0,0.0,0.0
305.25,359.25,95,95,100.0,7351.2659199263035,376.88856966187996,15.01594352722168,0.003343351185321808,119.86691403656997,0.0,0.0,0.0,0.0
179.25,359.25,95,95,100.0,7163.53902642861,341.2370690964494,14.852062225341797,0.14503569900989532,184.32979959854976,0.0,0.0,0.0,0.0
515.75,338.75,95,95,100.0,13076.387641630115,357.5362262910613,15.024272918701172,0.13302339613437653,219.33244594070172,0.0,0.0,0.0,0.0
560.75,211.75,95,95,100.0,10526.303907529238,204.50584469771195,15.016645431518555,2.86102294921875e-06,242.40178423435734,0.0,0.0,0.0,0.0
347.25,106.25,95,95,100.0,4956.899562340561,186.85131797423136,14.979281425476074,0.08557595312595367,136.54113117197798,0.0,0.0,0.0,0.0
261.75,84.75,95,95,100.0,7749.788265344117,700.644452743751,15.000349044799805,0.07079210877418518,165.7848278429772,0.0,0.0,0.0,0.0
475.5,83.25,95,51,53.68421052631579,4039.6285627164375,3760.279805004995,7.774582621925756,7.225829384484426,118.64217754412932,0.0,0.0,0.0,0.0
412.0,39.75,95,89,93.6842105263158,4968.429508956723,1372.7584362216724,13.692898649918405,3.5608535543924695,205.9459631229032,0.0,0.0,0.0,0.0
537.75,359.75,95,95,100.0,12031.352751461987,387.23923645528265,15.115859985351562,0.11888766288757324,248.41586703707227,0.0,0.0,0.0,0.0
326.0,358.75,95,93,97.89473684210526,10831.923300882416,1768.6375449523762,14.20562559428968,2.1120273411682073,116.38650752579957,0.0,0.0,0.0,0.0
581.25,317.75,95,95,100.0,13616.290249594704,631.4053397324889,14.88558578491211,0.2279173880815506,272.4532839948689,0.0,0.0,0.0,0.0
539.25,211.75,95,95,100.0,15789.864694409942,445.21228910144464,15.011393547058105,0.035825226455926895,221.05954635593807,0.0,0.0,0.0,0.0
584.0,147.5,95,94,98.94736842105263,7310.071930259908,788.7010647817394,14.901573773434288,1.5401854729936009,276.7686018490883,0.0,0.0,0.0,0.0
585.5,82.0,95,95,100.0,5919.964982821637,1762.0260224471087,15.022021293640137,0.007959514856338501,309.1728074311357,0.0,0.0,0.0,0.0
73.0,401.5,95,95,100.0,4642.476696820177,207.75323297774054,15.003987312316895,0.09503623098134995,295.0918624310138,0.0,0.0,0.0,0.0
325.75,400.75,95,95,100.0,11734.807535601467,395.4549452166527,15.016468048095703,0.0016989719588309526,160.85553124815934,0.0,0.0,0.0,0.0
559.25,339.25,95,95,100.0,8726.95606809382,625.8707821606502,14.907706260681152,0.1251784712076187,258.91159590459915,0.0,0.0,0.0,0.0
538.25,275.75,95,95,100.0,9929.194506761696,206.2863989569562,14.82632827758789,0.1438370645046234,220.93371645006306,0.0,0.0,0.0,0.0
582.0,254.5,95,94,98.94736842105263,8264.37542587232,905.2338371676307,14.868211967066715,1.5355946924572457,259.6202840475368,0.0,0.0,0.0,0.0
475.0,148.5,95,80,84.21052631578948,6162.543198147335,2706.279144161003,12.382752368324681,5.368968597356062,151.43441832015156,0.0,0.0,0.0,0.0
389.75,105.75,95,94,98.94736842105263,6422.007223501463,684.3210362564816,14.794791974519429,1.5332520504392901,149.5802841576521,0.0,0.0,0.0,0.0
367.75,105.75,95,95,100.0,7452.664483691428,505.0986419014719,14.974596977233887,0.09513495862483978,142.49610420935173,0.0,0.0,0.0,0.0
198.75,105.75,95,77,81.05263157894737,5708.860204606568,2808.9422684112187,11.984897252133019,5.798258369742766,146.52782487557502,0.0,0.0,0.0,0.0
155.75,105.75,95,95,100.0,7292.589449744153,203.74048414193953,15.01411247253418,0.05527741089463234,212.13784984861812,0.0,0.0,0.0,0.0
455.0,61.5,95,95,100.0,7547.79457876462,281.8418840380571,15.016687393188477,0.09266216307878494,223.79823946124165,0.0,0.0,0.0,0.0
411.5,62.0,95,95,100.0,6039.824323282164,175.21569230137743,15.04677963256836,0.08037123829126358,200.1337600069496,0.0,0.0,0.0,0.0
46.75,61.5,37,4,10.81081081081081,581.6462168835501,1671.9772400713466,1.5433683653135557,4.432988130614354,35.28497156591736,0.0,0.0,0.0,0.0
433.5,40.0,95,95,100.0,4503.766888171703,176.09464160671598,15.003296852111816,0.07599367201328278,229.98163767047583,0.0,0.0,0.0,0.0
455.75,39.75,95,93,97.89473684210526,4152.171507397097,1148.0792207418167,14.65446770316676,2.161711485775883,236.74951285640157,0.0,0.0,0.0,0.0
540.5,126.0,95,95,100.0,6520.851616268046,599.0313303241035,15.076584815979004,0.11371112614870071,248.21535489356458,0.0,0.0,0.0,0.0
389.5,149.0,95,95,100.0,6830.410060489766,229.88418507084356,14.911825180053711,0.13360130786895752,114.53676677343789,0.0,0.0,0.0,0.0
603.5,424.5,95,95,100.0,6949.115947424463,295.3428387712643,15.073418617248535,0.1165136769413948,338.2879430274027,0.0,0.0,0.0,0.0
495.5,423.5,95,55,57.89473684210526,3764.818944665367,3213.220844306765,8.668965490240799,7.393389197595643,146.99188593306704,0.0,0.0,0.0,0.0
263.5,421.5,95,95,100.0,10899.865270643275,236.1562498219875,14.80411434173584,0.09470918774604797,190.284253603924,0.0,0.0,0.0,0.0
431.5,401.5,95,95,100.0,10888.362948200129,237.06575930789472,15.0,0.0,196.251114646516,0.0,0.0,0.0,0.0
410.5,401.5,95,93,97.89473684210526,8861.18007659357,2176.075554352471,14.684409392507453,2.154016295687752,181.11985665249415,0.0,0.0,0.0,0.0
347.0,401.0,95,95,100.0,8636.243709510945,223.91109092328566,15.0,0.0,163.24827717314508,0.0,0.0,0.0,0.0
559.5,381.5,95,95,100.0,7442.7946042885,245.48410400768762,15.0,0.0,278.17710186138623,0.0,0.0,0.0,0.0
494.5,359.5,45,8,17.77777777777778,2196.333956664952,4730.556023678027,2.634813117980957,5.6665639669745955,37.63449628597804,0.0,0.0,0.0,0.0
473.5,359.5,95,95,100.0,9812.836334866795,263.1052590835189,15.0,0.0,194.53148845366903,0.0,0.0,0.0,0.0
452.5,359.5,95,61,64.21052631578948,5955.322521949317,4450.135400961658,9.631578947368421,7.190714233727812,114.56946579728294,0.0,0.0,0.0,0.0
431.5,359.5,95,95,100.0,7479.710658037686,211.00884835302568,14.994911193847656,0.03469500690698624,163.4360028659824,0.0,0.0,0.0,0.0
347.0,359.0,95,95,100.0,9096.896987236507,218.6820542847882,15.0,0.0,122.02458768625283,0.0,0.0,0.0,0.0
473.5,338.5,95,82,86.3157894736842,6875.355760779728,2742.5197742879222,12.942286752399646,5.153420523662793,157.42676362394593,0.0,0.0,0.0,0.0
452.25,338.5,95,95,100.0,7596.919063287848,171.6204855164292,14.240740776062012,0.12087373435497284,164.93891933583978,0.0,0.0,0.0,0.0
537.75,317.5,95,95,100.0,12824.887833034441,377.1677234741264,14.700010299682617,0.20319543778896332,231.10819801668399,0.0,0.0,0.0,0.0
473.5,275.25,95,91,95.78947368421052,10357.789471453234,2195.864455741593,13.711813966851485,2.8780451748290914,150.88988049045184,0.0,0.0,0.0,0.0
538.5,254.5,95,93,97.89473684210526,5885.13570474334,871.3037072577727,14.68421052631579,2.1533971100503986,214.37047500534354,0.0,0.0,0.0,0.0
115.5,233.5,95,95,100.0,5116.053043310924,258.60832184520984,14.787508010864258,0.3212209641933441,204.6676770385129,0.0,0.0,0.0,0.0
157.5,191.5,95,87,91.57894736842105,3773.166641785416,1172.9189201733095,13.523837260196084,4.1132159036804,155.4210669589374,0.0,0.0,0.0,0.0
539.5,169.5,95,95,100.0,7656.700228889702,1221.0942384529512,15.003599166870117,0.026536667719483376,230.53623546817747,0.0,0.0,0.0,0.0
474.5,169.5,95,85,89.47368421052632,5674.38822965562,1953.912475669209,13.41088927419562,4.6005508024883,151.95209203399935,0.0,0.0,0.0,0.0
453.5,169.5,95,95,100.0,8684.57417523067,261.8117272034766,14.928767204284668,0.1101861372590065,151.03702176110812,0.0,0.0,0.0,0.0
262.5,149.5,95,95,100.0,4508.826432124755,100.03474230557055,14.97964859008789,0.06711431592702866,107.23950929094138,0.0,0.0,0.0,0.0
262.5,127.5,95,95,100.0,7048.432367173489,309.4153867629568,15.000176429748535,0.0017065597930923104,126.34632908687128,0.0,0.0,0.0,0.0
431.5,422.5,95,43,45.26315789473684,4092.3007779597137,4501.624955160239,6.715711312544974,7.385877859787242,96.85399099509938,0.0,0.0,0.0,0.0
473.5,380.5,95,94,98.94736842105263,9314.277343729695,992.4057652022218,14.842105263157896,1.5308462707630515,205.9020798389236,0.0,0.0,0.0,0.0
452.5,380.5,95,93,97.89473684210526,9505.889793580247,1409.70166948752,14.28289548974288,2.121169445217795,189.11698615028132,0.0,0.0,0.0,0.0
284.0,359.0,95,95,100.0,9303.995929066528,232.43474610742192,14.88072681427002,0.12053488194942474,124.20780880502458,0.0,0.0,0.0,0.0
473.25,317.0,95,95,100.0,7641.618054961743,644.5415333644604,14.607359886169434,0.3065023422241211,171.68530840672472,0.0,0.0,0.0,0.0
559.5,297.5,95,95,100.0,6748.9076471442495,817.1461226564678,14.995087623596191,0.03476272523403168,246.30130572597895,0.0,0.0,0.0,0.0
241.75,191.25,95,91,95.78947368421052,7145.630313851296,1549.7412779864837,13.784209472254703,2.9061698021408477,88.50142374469176,0.0,0.0,0.0,0.0
283.5,127.5,95,95,100.0,7406.264316673165,262.7191184326183,14.918593406677246,0.11422359943389893,118.20305718636288,0.0,0.0,0.0,0.0
241.0,106.0,95,86,90.52631578947368,5710.048916816782,1927.70560254262,13.495281339946546,4.368583338944131,140.7597196491869,0.0,0.0,0.0,0.0
198.0,62.5,95,50,52.63157894736842,3727.6446699957405,3545.9745025023435,7.648848834790681,7.256715393515459,113.36594939155644,0.0,0.0,0.0,0.0
283.5,41.25,95,72,75.78947368421052,2515.402245616157,1432.3088797755838,10.996638478730855,6.21994886108316,152.98632634617877,0.0,0.0,0.0,0.0
304.75,41.0,95,82,86.3157894736842,4174.854588567766,1696.4627691566313,12.583966576425652,5.0170412161508935,171.97941607259332,0.0,0.0,0.0,0.0
116.0,422.0,95,95,100.0,6649.711858698413,1408.3288285320282,14.612464904785156,0.19102337956428528,273.35137251843804,0.0,0.0,0.0,0.0
116.25,359.0,95,95,100.0,6882.845414056789,533.9155170770274,14.807793617248535,0.02363709732890129,235.96776423920295,0.0,0.0,0.0,0.0
496.0,190.75,95,95,100.0,10838.670461800966,1565.9028188521104,14.84494400024414,0.15499302744865417,182.78760877369703,0.0,0.0,0.0,0.0
113.0,105.75,95,95,100.0,6363.075913427164,1255.1468703913795,14.984400749206543,0.1276300549507141,246.54048506203992,0.0,0.0,0.0,0.0
112.75,84.0,95,33,34.73684210526316,1687.312315639315,2319.7451532849886,5.106981598703485,7.0010906973726215,90.11591592375342,0.0,0.0,0.0,0.0
114.5,169.75,95,95,100.0,7045.556498166298,469.5669309431076,14.598947525024414,0.1460104137659073,217.02552767806185,0.0,0.0,0.0,0.0
454.0,126.75,95,95,100.0,8948.967814267664,647.2792054727889,14.696012496948242,0.13646730780601501,175.33166025227098,0.0,0.0,0.0,0.0
113.75,149.0,95,94,98.94736842105263,6300.327743207395,1254.8485997299726,14.627306767513877,1.5261943670448186,223.05122716208172,0.0,0.0,0.0,0.0
367.5,254.25,95,94,98.94736842105263,10573.97422300369,1528.3393134133244,14.632281474063271,1.5376255644575487,48.94252812793397,0.0,0.0,0.0,0.0
432.5,105.25,95,95,100.0,8394.893687514623,1489.6035023175918,14.772435188293457,0.028272558003664017,175.4658482774214,0.0,0.0,0.0,0.0
582.75,211.5,95,93,97.89473684210526,9792.829845979531,1462.684677288334,14.455779738175242,2.1203793379929863,258.72627913119123,0.0,0.0,0.0,0.0
517.5,191.0,95,84,88.42105263157895,5952.169075768356,2797.0966833889524,13.07082529569927,4.732685825526702,180.07606944423375,0.0,0.0,0.0,0.0
605.75,168.5,95,95,100.0,7207.906128497402,257.60318116256366,14.769027709960938,0.05107596144080162,294.5550568599696,0.0,0.0,0.0,0.0
410.75,148.5,95,85,89.47368421052632,6819.207903729695,2345.745137417092,13.204815914756374,4.529214492896003,115.30590186176563,0.0,0.0,0.0,0.0
432.75,83.5,95,92,96.84210526315789,9005.809539968322,1653.1457794509215,14.18159324244449,2.566972640354573,186.8723235314638,0.0,0.0,0.0,0.0
262.0,41.75,95,84,88.42105263157895,3992.2776237956805,1496.691411931869,12.942271242643658,4.686496351331091,183.20250551256433,0.0,0.0,0.0,0.0
411.0,127.25,95,92,96.84210526315789,7049.069435210049,1403.7507219662034,14.286487980892783,2.583474503047118,140.49897365725315,0.0,0.0,0.0,0.0
432.25,127.0,95,95,100.0,6816.242278143273,191.78713565280654,14.77552318572998,0.00013556797057390213,159.27662753494417,0.0,0.0,0.0,0.0
410.0,380.25,95,95,100.0,9932.761600771706,622.7254951882137,14.675329208374023,0.1482613980770111,166.72596477646306,0.0,0.0,0.0,0.0
116.25,380.0,95,95,100.0,6698.498439982023,1134.8359408189533,14.771011352539062,0.007997265085577965,247.22868105262637,0.0,0.0,0.0,0.0
410.0,317.25,95,95,100.0,8642.54110956932,473.55877491865095,14.548104286193848,0.06881058216094971,118.72803148379636,0.0,0.0,0.0,0.0
581.0,297.25,95,95,100.0,9884.235330449967,2772.3832527866516,14.77900218963623,0.04355059191584587,267.28691743776636,0.0,0.0,0.0,0.0
